 Age , Gender , Income_Level , Marital_Status , Education_Level , Occupation , Purchase_Category , Purchase_Amount , Frequency_of_Purchase , Purchase_Channel , Brand_Loyalty , Product_Rating , Time_Spent_on_Product_Research(hours) , Social_Media_Influence , Discount_Sensitivity , Return_Rate , Customer_Satisfaction , Engagement_with_Ads , Device_Used_for_Shopping , Payment_Method , Time_of_Purchase , Discount_Used , Customer_Loyalty_Program_Member , Purchase_Intent , Shipping_Preference , Time_to_Decision 
22.0,Female,Middle,Married,Bachelor's,Middle,Gardening & Outdoors,$333.80 ,4.0,Mixed,5.0,5.0,2.0,,Somewhat Sensitive,1.0,7.0,,,Credit Card,3/1/2024,True,False,Need-based,No Preference,
,,High,Married,High School,,Food & Beverages,$222.22 ,11.0,In-Store,3.0,1.0,2.0,Medium,Not Sensitive,1.0,5.0,High,Tablet,PayPal,4/16/2024,True,,Wants-based,Standard,6.0
24.0,Female,Middle,Single,Master's,High,Office Supplies,$426.22 ,2.0,Mixed,5.0,5.0,,Low,,1.0,7.0,Low,Smartphone,Debit Card,3/15/2024,True,True,Impulsive,No Preference,3.0
29.0,Female,Middle,Single,Master's,Middle,Home Appliances,$101.31 ,6.0,Mixed,3.0,1.0,1.0,High,,0.0,1.0,,Smartphone,Other,10/4/2024,True,True,Need-based,Express,10.0
33.0,Female,Middle,Widowed,High School,Middle,Furniture,$211.70 ,6.0,Mixed,3.0,4.0,0.0,Medium,Not Sensitive,2.0,10.0,,,Debit Card,1/30/2024,False,,Wants-based,No Preference,4.0
45.0,Male,Middle,Married,Master's,High,Office Supplies,$487.95 ,8.0,Mixed,3.0,3.0,0.0,High,Not Sensitive,2.0,3.0,,Tablet,Debit Card,3/19/2024,False,False,Planned,No Preference,7.0
21.0,Female,Middle,Divorced,High School,Middle,Furniture,$486.40 ,12.0,,,5.0,1.0,High,Somewhat Sensitive,0.0,9.0,Low,Desktop,Debit Card,3/15/2024,True,False,Need-based,Express,13.0
39.0,Male,Middle,Single,High School,Middle,Books,$218.06 ,6.0,Online,5.0,4.0,1.0,Low,Somewhat Sensitive,2.0,9.0,,Desktop,Credit Card,3/17/2024,False,True,Impulsive,No Preference,
24.0,Female,High,Divorced,Master's,,Office Supplies,$201.96 ,,,3.0,5.0,0.0,Low,Very Sensitive,1.0,2.0,High,Desktop,Cash,6/10/2024,False,False,Need-based,Standard,7.0
25.0,Bigender,,Married,,High,Sports & Outdoors,$418.83 ,7.0,Online,2.0,5.0,1.0,,Somewhat Sensitive,1.0,5.0,Medium,Tablet,PayPal,10/7/2024,True,False,Need-based,No Preference,13.0
33.0,Male,Middle,,Bachelor's,Middle,Mobile Accessories,$389.70 ,12.0,In-Store,1.0,4.0,0.5,Low,Not Sensitive,0.0,4.0,High,Desktop,PayPal,7/2/2024,True,False,Planned,Express,12.0
38.0,Female,High,Widowed,Bachelor's,Middle,Sports & Outdoors,$238.93 ,5.0,,4.0,3.0,1.0,,Very Sensitive,0.0,10.0,High,Tablet,Cash,12/27/2024,True,,Planned,No Preference,1.0
34.0,Male,Middle,Single,Bachelor's,High,Luxury Goods,,7.0,In-Store,5.0,2.0,2.0,Low,Very Sensitive,1.0,7.0,High,Desktop,Debit Card,8/5/2024,True,True,Need-based,No Preference,5.0
32.0,Male,High,Married,High School,Middle,Animal Feed,$79.81 ,4.0,Mixed,,5.0,0.0,High,Not Sensitive,0.0,9.0,High,Smartphone,Debit Card,7/16/2024,False,True,,Standard,14.0
30.0,Female,High,Widowed,High School,High,Health Care,$58.51 ,2.0,Online,4.0,4.0,0.5,,,0.0,4.0,Medium,Desktop,PayPal,12/14/2024,True,True,Planned,No Preference,14.0
40.0,Male,High,Divorced,Master's,High,,$109.29 ,3.0,Online,3.0,4.0,,Medium,Somewhat Sensitive,2.0,2.0,High,Desktop,Debit Card,8/11/2024,False,True,Wants-based,Express,11.0
,Male,High,Single,Bachelor's,High,Furniture,$356.45 ,6.0,Mixed,5.0,5.0,2.0,Low,Very Sensitive,0.0,7.0,Medium,Smartphone,Credit Card,10/18/2024,False,True,Planned,Standard,8.0
,Female,Middle,Divorced,Bachelor's,High,Mobile Accessories,$236.99 ,10.0,Mixed,2.0,4.0,0.0,High,Very Sensitive,0.0,8.0,,Tablet,PayPal,12/9/2024,True,True,Impulsive,No Preference,13.0
36.0,Male,Middle,Widowed,Bachelor's,High,Packages),$454.39 ,10.0,In-Store,2.0,4.0,2.0,Medium,Not Sensitive,0.0,3.0,,Desktop,Other,7/23/2024,False,True,Impulsive,Standard,3.0
,Female,High,Widowed,Bachelor's,Middle,Electronics,$490.75 ,10.0,In-Store,2.0,4.0,1.0,,Very Sensitive,1.0,4.0,Low,Smartphone,Debit Card,7/8/2024,False,False,Wants-based,Standard,
21.0,Female,Middle,Widowed,High School,Middle,Software & Apps,$463.07 ,,Mixed,4.0,2.0,0.0,,,1.0,2.0,Medium,Smartphone,PayPal,7/23/2024,True,False,Wants-based,No Preference,11.0
36.0,Female,High,Married,Master's,High,Baby Products,$56.74 ,5.0,Online,5.0,1.0,0.0,,Very Sensitive,0.0,6.0,,Smartphone,Other,7/31/2024,True,False,Impulsive,Express,
38.0,Male,High,Divorced,Bachelor's,Middle,Toys & Games,$371.32 ,7.0,In-Store,4.0,4.0,0.7,Medium,,2.0,1.0,,Tablet,Debit Card,2/25/2024,True,True,Impulsive,Standard,
37.0,Female,Middle,Single,Bachelor's,Middle,Software & Apps,$461.00 ,7.0,Online,2.0,4.0,1.0,High,Not Sensitive,0.0,8.0,Low,Tablet,Cash,7/10/2024,False,True,Wants-based,Standard,9.0
33.0,Female,High,,Bachelor's,High,,$253.37 ,6.0,In-Store,4.0,1.0,1.0,,Very Sensitive,2.0,10.0,High,Tablet,,12/25/2024,True,False,Impulsive,Standard,8.0
37.0,Male,High,,High School,High,Packages),$136.53 ,3.0,Mixed,2.0,4.0,2.0,High,Not Sensitive,1.0,3.0,High,,PayPal,5/31/2024,True,True,Planned,Standard,10.0
31.0,Female,Middle,Single,Master's,Middle,Arts & Crafts,$489.05 ,10.0,Online,5.0,3.0,0.0,,Somewhat Sensitive,2.0,2.0,High,Desktop,PayPal,9/4/2024,True,True,Planned,,7.0
50.0,,High,Single,Master's,High,Electronics,$81.91 ,10.0,,3.0,4.0,1.0,Medium,Very Sensitive,0.0,4.0,,Desktop,Debit Card,7/24/2024,False,True,Need-based,Express,2.0
50.0,Male,Middle,Married,,Middle,Arts & Crafts,$135.80 ,2.0,In-Store,2.0,5.0,,Low,Somewhat Sensitive,1.0,,High,Desktop,Debit Card,,False,True,Planned,No Preference,9.0
45.0,Female,Middle,Widowed,High School,Middle,Health Supplements,$382.24 ,12.0,In-Store,1.0,5.0,1.0,High,Very Sensitive,1.0,4.0,High,Tablet,PayPal,7/6/2024,True,True,Planned,Standard,3.0
33.0,Female,High,Married,Bachelor's,Middle,Gardening & Outdoors,$354.70 ,5.0,Online,4.0,2.0,0.0,,Very Sensitive,2.0,7.0,,Smartphone,Other,2/10/2024,True,,Planned,Express,12.0
24.0,Male,High,Divorced,Bachelor's,High,Mobile Accessories,$433.82 ,6.0,Online,3.0,2.0,1.0,Medium,Somewhat Sensitive,0.0,8.0,Medium,Desktop,Other,6/29/2024,False,True,Planned,Express,10.0
39.0,Genderfluid,High,Married,Bachelor's,,Mobile Accessories,$282.13 ,5.0,Mixed,4.0,5.0,1.0,,Somewhat Sensitive,,2.0,,Tablet,Other,1/26/2024,True,False,Need-based,Standard,9.0
48.0,Male,High,Widowed,High School,Middle,Mobile Accessories,$454.38 ,10.0,Online,3.0,4.0,0.0,,Somewhat Sensitive,0.0,,Medium,Smartphone,PayPal,6/15/2024,True,False,Impulsive,No Preference,7.0
25.0,Male,Middle,Married,High School,High,Mobile Accessories,$138.88 ,7.0,In-Store,2.0,4.0,1.0,,Not Sensitive,1.0,3.0,,Tablet,Cash,6/8/2024,True,False,Planned,No Preference,4.0
30.0,Female,High,Single,Bachelor's,High,Books,$52.34 ,6.0,In-Store,3.0,4.0,,Low,Somewhat Sensitive,1.0,5.0,Medium,Tablet,PayPal,5/21/2024,True,True,Planned,Express,13.0
34.0,Male,Middle,Single,Bachelor's,High,Groceries,$338.20 ,7.0,Online,3.0,5.0,0.0,,Not Sensitive,,9.0,Medium,Tablet,Other,9/1/2024,True,False,,Standard,7.0
21.0,Female,Middle,Widowed,High School,Middle,Toys & Games,,3.0,In-Store,1.0,5.0,1.0,High,Somewhat Sensitive,1.0,10.0,High,Tablet,Other,3/4/2024,True,False,Impulsive,Express,10.0
36.0,Female,,Married,Master's,Middle,Software & Apps,$371.58 ,2.0,Mixed,2.0,1.0,2.0,High,,0.0,10.0,,Smartphone,Cash,9/13/2024,True,True,,,11.0
30.0,Male,Middle,Widowed,Bachelor's,Middle,Health Care,$353.40 ,2.0,Online,2.0,3.0,2.0,Medium,Very Sensitive,0.0,1.0,Low,Tablet,Credit Card,12/6/2024,False,True,Impulsive,No Preference,3.0
46.0,Female,Middle,,High School,,,$329.41 ,5.0,In-Store,5.0,3.0,0.0,Medium,,1.0,1.0,High,Desktop,Cash,10/21/2024,True,True,Need-based,No Preference,2.0
46.0,Female,Middle,,Master's,Middle,Food & Beverages,$54.46 ,5.0,Online,4.0,5.0,1.0,High,Not Sensitive,1.0,1.0,Low,Tablet,Other,11/17/2024,False,False,Impulsive,,
43.0,Male,High,Widowed,Master's,Middle,Books,$257.12 ,8.0,Online,2.0,,0.0,High,Not Sensitive,,1.0,High,Smartphone,Other,7/24/2024,True,False,Impulsive,No Preference,11.0
43.0,Male,High,Divorced,Bachelor's,Middle,Arts & Crafts,$293.04 ,11.0,In-Store,4.0,2.0,1.0,,Very Sensitive,1.0,,Low,Desktop,PayPal,3/3/2024,True,False,Planned,Standard,6.0
34.0,Male,High,Single,Master's,High,Books,$110.40 ,12.0,Mixed,5.0,1.0,2.0,,Somewhat Sensitive,1.0,3.0,Medium,Tablet,Debit Card,11/13/2024,False,False,Need-based,Standard,12.0
42.0,Female,Middle,Married,Master's,High,Mobile Accessories,$76.27 ,4.0,In-Store,2.0,3.0,0.0,,,0.0,,Medium,Smartphone,Credit Card,12/24/2024,True,False,Wants-based,Standard,10.0
40.0,Female,High,Widowed,Bachelor's,Middle,Toys & Games,$392.08 ,,Online,2.0,5.0,1.0,,Very Sensitive,2.0,,High,Tablet,Other,8/4/2024,True,,Need-based,,6.0
25.0,Female,High,Married,Bachelor's,High,Toys & Games,$51.22 ,6.0,Online,2.0,1.0,0.0,,Very Sensitive,1.0,5.0,Medium,Tablet,Cash,8/25/2024,True,True,Planned,Standard,5.0
38.0,Male,Middle,Divorced,Bachelor's,High,Clothing,$227.57 ,2.0,Online,1.0,2.0,0.0,High,Somewhat Sensitive,1.0,6.0,,Tablet,PayPal,8/17/2024,False,True,Wants-based,No Preference,14.0
46.0,Female,Middle,Widowed,Bachelor's,Middle,Groceries,$378.87 ,7.0,Online,1.0,2.0,0.0,,Very Sensitive,1.0,2.0,Low,Tablet,PayPal,4/1/2024,True,False,Planned,No Preference,5.0
24.0,Female,Middle,Widowed,High School,High,Beauty & Personal Care,$423.92 ,8.0,Mixed,3.0,1.0,,,Somewhat Sensitive,0.0,9.0,High,,Credit Card,8/24/2024,False,True,Need-based,,8.0
43.0,Non-binary,High,Widowed,Master's,Middle,Arts & Crafts,$111.24 ,9.0,Mixed,5.0,2.0,0.0,Medium,Somewhat Sensitive,0.0,2.0,High,Smartphone,Credit Card,8/6/2024,True,False,Need-based,No Preference,12.0
37.0,,Middle,Single,Bachelor's,Middle,Travel & Leisure (Flights,$299.31 ,7.0,Mixed,2.0,,1.0,Medium,Very Sensitive,2.0,3.0,,Desktop,Debit Card,2/1/2024,True,False,Need-based,Express,3.0
42.0,Male,Middle,Widowed,Master's,Middle,Animal Feed,$169.28 ,7.0,Mixed,,,1.0,,Somewhat Sensitive,2.0,1.0,Low,Tablet,Cash,6/17/2024,True,True,Impulsive,,6.0
29.0,Male,Middle,Widowed,High School,High,Office Supplies,$449.13 ,9.0,In-Store,2.0,1.0,0.5,Medium,,2.0,2.0,Low,Tablet,Credit Card,6/12/2024,False,False,Planned,No Preference,14.0
35.0,Female,High,Married,Master's,High,Animal Feed,$427.48 ,6.0,Online,,2.0,0.0,Medium,Not Sensitive,1.0,1.0,Low,Smartphone,Debit Card,12/16/2024,True,False,Impulsive,Standard,11.0
27.0,Female,Middle,Single,High School,High,Sports & Outdoors,$171.61 ,3.0,Online,3.0,1.0,2.0,Low,Very Sensitive,1.0,6.0,High,Desktop,Credit Card,10/31/2024,True,False,Planned,Express,8.0
40.0,Female,High,Married,Bachelor's,High,Books,$240.28 ,3.0,Online,3.0,,2.0,High,Not Sensitive,2.0,7.0,Medium,Tablet,Cash,12/7/2024,True,True,Impulsive,Standard,4.0
34.0,Female,High,Single,High School,High,Furniture,$310.17 ,6.0,In-Store,2.0,3.0,2.0,,Very Sensitive,0.0,10.0,,Smartphone,Debit Card,2/24/2024,False,False,Wants-based,No Preference,13.0
25.0,Female,Middle,Married,Bachelor's,Middle,Hotels,$166.00 ,10.0,Online,5.0,3.0,0.0,,Not Sensitive,2.0,10.0,Medium,Smartphone,PayPal,6/11/2024,False,False,Impulsive,Express,5.0
38.0,Male,High,Divorced,Bachelor's,High,Baby Products,$362.01 ,2.0,In-Store,2.0,4.0,1.0,,Somewhat Sensitive,2.0,1.0,Medium,Tablet,Debit Card,11/24/2024,False,False,Impulsive,Express,
33.0,Polygender,High,Married,Bachelor's,Middle,Travel & Leisure (Flights,$348.50 ,3.0,Mixed,2.0,3.0,,,Not Sensitive,0.0,6.0,Medium,Smartphone,Debit Card,7/9/2024,False,False,Planned,No Preference,8.0
32.0,Female,Middle,Married,Bachelor's,High,Animal Feed,$395.97 ,9.0,In-Store,,4.0,0.0,Medium,Very Sensitive,1.0,6.0,Low,Tablet,Debit Card,8/18/2024,True,True,Wants-based,,1.0
50.0,Female,Middle,Widowed,High School,Middle,Sports & Outdoors,$474.99 ,9.0,Online,2.0,4.0,,,Somewhat Sensitive,0.0,8.0,High,Desktop,Credit Card,7/10/2024,True,False,Planned,Standard,5.0
