invoice_id,date,store_id,store_name,store_city,product_name,manufacturing_company,pack,unit_volume_ml,unit_sold,unit_retail_price,total_price,volume_sold_liters
INV-16731500014,2019-01-04,4119,Peak Provisions,CEDAR FALLS,ChocoMint Bliss,CrafTaste Enterprises,1,6000,1,26.73,26.73,6.0
INV-16731500011,2019-01-04,4119,Peak Provisions,CEDAR FALLS,VitaWave Splash,NibbleNook Ventures,12,750,12,2.42,29.04,9.0
INV-16731500008,2019-01-04,4119,Peak Provisions,CEDAR FALLS,FruitFusion Quencher,CrunchCraft Co.,6,1750,6,1.94,11.64,10.5
INV-16731500003,2019-01-04,4119,Peak Provisions,CEDAR FALLS,PureElixir Zest,MunchWave Snacks,6,1750,6,4.86,29.16,10.5
INV-16731500012,2019-01-04,4119,Peak Provisions,CEDAR FALLS,SpicedApple Hug,FlavBlend Innovations,6,1750,6,2.98,17.88,10.5
INV-16731500018,2019-01-04,4119,Peak Provisions,CEDAR FALLS,CaramelCrunch Craze,OliverCraft Inc.,12,750,12,2.02,24.24,9.0
INV-16731500004,2019-01-04,4119,Peak Provisions,CEDAR FALLS,FruitFusion Quencher,MunchWave Snacks,12,750,12,2.23,26.76,9.0
INV-16731500007,2019-01-04,4119,Peak Provisions,CEDAR FALLS,VelvetMist Infusion,SipSense Foods,12,750,12,7.42,89.04,9.0
INV-16731500013,2019-01-04,4119,Peak Provisions,CEDAR FALLS,SpicedApple Hug,FlavBlend Innovations,6,1750,6,2.36,14.16,10.5
INV-16731500009,2019-01-04,4119,Peak Provisions,CEDAR FALLS,Sparkling Bliss Brew,Crunchy Group,12,750,12,1.82,21.84,9.0
INV-16731500016,2019-01-04,4119,Peak Provisions,CEDAR FALLS,Sparkling Bliss Brew,Crunchy Group,6,1750,6,2.82,16.92,10.5
INV-16731500015,2019-01-04,4119,Peak Provisions,CEDAR FALLS,ChocoMint Bliss,MunchWave Snacks,4,2400,4,8.62,34.48,9.6
INV-16731500006,2019-01-04,4119,Peak Provisions,CEDAR FALLS,Sparkling Bliss Brew,MunchWave Snacks,12,750,12,4.21,50.52,9.0
INV-16731500002,2019-01-04,4119,Peak Provisions,CEDAR FALLS,PureElixir Zest,MunchWave Snacks,12,750,12,2.45,29.4,9.0
INV-16731500005,2019-01-04,4119,Peak Provisions,CEDAR FALLS,BerryBloom Oasis,OliverCraft Inc.,12,750,12,4.32,51.84,9.0
INV-16731500001,2019-01-04,4119,Peak Provisions,CEDAR FALLS,FrostedCocoa Savor,OliverCraft Inc.,12,750,12,3.37,40.44,9.0
INV-16731500017,2019-01-04,4119,Peak Provisions,CEDAR FALLS,FruitFusion Quencher,SipStory Co.,6,1750,6,5.13,30.78,10.5
INV-16731500010,2019-01-04,4119,Peak Provisions,CEDAR FALLS,PeachyKeen Revive,Crunchy Group,12,750,12,2.23,26.76,9.0
INV-16731500019,2019-01-04,4119,Peak Provisions,CEDAR FALLS,ZenZen Tea Blend,CraveCrafter Brands,12,750,12,4.99,59.88,9.0
INV-16855300015,2019-01-10,4119,Peak Provisions,CEDAR FALLS,FruitFusion Quencher,MunchWave Snacks,12,750,12,2.23,26.76,9.0
INV-16855300014,2019-01-10,4119,Peak Provisions,CEDAR FALLS,FruitFusion Quencher,CrunchCraft Co.,6,1750,6,1.94,11.64,10.5
INV-16855300008,2019-01-10,4119,Peak Provisions,CEDAR FALLS,OasisGlow Refresher,MunchWave Snacks,12,750,12,2.72,32.64,9.0
INV-16855300005,2019-01-10,4119,Peak Provisions,CEDAR FALLS,CitrusBurst Breeze,MunchWave Snacks,6,1750,6,3.5,21.0,10.5
INV-16855300013,2019-01-10,4119,Peak Provisions,CEDAR FALLS,Sparkling Bliss Brew,Crunchy Group,6,1750,6,2.82,16.92,10.5
INV-16855300003,2019-01-10,4119,Peak Provisions,CEDAR FALLS,ZenZen Tea Blend,SnackSphere Innovations,6,750,6,2.96,17.76,4.5
INV-16855300004,2019-01-10,4119,Peak Provisions,CEDAR FALLS,PeachyKeen Revive,MunchWave Snacks,12,750,12,3.38,40.56,9.0
INV-16855300006,2019-01-10,4119,Peak Provisions,CEDAR FALLS,OasisGlow Refresher,NibbleNation Group,12,750,12,2.02,24.24,9.0
INV-16855300010,2019-01-10,4119,Peak Provisions,CEDAR FALLS,CocoCrave Delight,SipSavor Co.,12,750,12,2.84,34.08,9.0
INV-16855300011,2019-01-10,4119,Peak Provisions,CEDAR FALLS,EnergizeFusion Fuel,CC Brands,6,750,6,6.14,36.84,4.5
INV-16855300002,2019-01-10,4119,Peak Provisions,CEDAR FALLS,BerryBlitz Chill,TasteTrail Snacks,12,750,12,1.62,19.44,9.0
INV-16855300012,2019-01-10,4119,Peak Provisions,CEDAR FALLS,CaramelCrunch Craze,OliverCraft Inc.,6,1750,6,4.45,26.7,10.5
INV-16855300001,2019-01-10,4119,Peak Provisions,CEDAR FALLS,PureElixir Zest,MunchWave Snacks,12,750,12,2.45,29.4,9.0
INV-16855300009,2019-01-10,4119,Peak Provisions,CEDAR FALLS,AquaBerry Burst,TasteTwist Enterprises,12,750,12,4.2,50.4,9.0
INV-16855300007,2019-01-10,4119,Peak Provisions,CEDAR FALLS,EnergizeFusion Fuel,MunchWave Snacks,12,750,12,4.32,51.84,9.0
INV-17002400003,2019-01-17,4755,Urban Outlet,MASON CITY,PureElixir Zest,SnackSphere Innovations,12,750,12,2.61,31.32,9.0
INV-17000100005,2019-01-17,4119,Peak Provisions,CEDAR FALLS,FrostyMango Fusion,CraveCrafter Brands,12,750,12,2.23,26.76,9.0
INV-17002400009,2019-01-17,4755,Urban Outlet,MASON CITY,FrostyMango Fusion,CrunchCraft Co.,6,1750,6,2.12,12.72,10.5
INV-17000100006,2019-01-17,4119,Peak Provisions,CEDAR FALLS,MorningMist Wakeup,CraveCrafter Brands,12,750,12,2.23,26.76,9.0
INV-17000100002,2019-01-17,4119,Peak Provisions,CEDAR FALLS,CocoCrave Delight,SipSavor Co.,6,750,6,5.67,34.02,4.5
INV-17000100001,2019-01-17,4119,Peak Provisions,CEDAR FALLS,BerryBlitz Chill,CrunchCraze Inc.,6,750,6,2.7,16.2,4.5
INV-17000100007,2019-01-17,4119,Peak Provisions,CEDAR FALLS,FruitFusion Quencher,SipStory Co.,12,750,12,2.6,31.2,9.0
INV-17002400010,2019-01-17,4755,Urban Outlet,MASON CITY,CaramelCrunch Craze,OliverCraft Inc.,12,750,12,2.02,24.24,9.0
INV-17002400007,2019-01-17,4755,Urban Outlet,MASON CITY,Sparkling Bliss Brew,SipSavor Co.,6,1750,6,3.92,23.52,10.5
INV-17002400006,2019-01-17,4755,Urban Outlet,MASON CITY,CitrusBurst Breeze,MunchWave Snacks,6,1750,6,3.5,21.0,10.5
INV-17002400008,2019-01-17,4755,Urban Outlet,MASON CITY,Sparkling Bliss Brew,Crunchy Group,12,750,12,1.41,16.92,9.0
INV-17000100003,2019-01-17,4119,Peak Provisions,CEDAR FALLS,PureElixir Zest,FlavBlend Innovations,12,750,12,2.82,33.84,9.0
INV-17002400005,2019-01-17,4755,Urban Outlet,MASON CITY,FruitFusion Quencher,SipStory Co.,12,750,12,2.6,31.2,9.0
INV-17002400001,2019-01-17,4755,Urban Outlet,MASON CITY,ChocoMint Bliss,CrafTaste Enterprises,12,750,12,3.38,40.56,9.0
INV-17000100004,2019-01-17,4119,Peak Provisions,CEDAR FALLS,FruitFusion Quencher,CrunchCraft Co.,6,1750,6,1.94,11.64,10.5
INV-17002400002,2019-01-17,4755,Urban Outlet,MASON CITY,VelvetMist Infusion,SipSense Foods,12,375,12,3.92,47.04,4.5
INV-17002400011,2019-01-17,4755,Urban Outlet,MASON CITY,PureElixir Zest,BiteBlend Delights,6,1750,6,3.12,18.72,10.5
INV-17002400004,2019-01-17,4755,Urban Outlet,MASON CITY,Sparkling Bliss Brew,MunchWave Snacks,12,750,12,4.21,50.52,9.0
INV-17162000001,2019-01-25,9039,Skyline Stores,WEST DES MOINES,FruitFusion Quencher,Frescan Jaya,6,750,120,2.14,256.8,90.0
INV-17263500005,2019-01-31,4119,Peak Provisions,CEDAR FALLS,PureElixir Zest,FlavBlend Innovations,12,750,12,2.82,33.84,9.0
INV-17263500003,2019-01-31,4119,Peak Provisions,CEDAR FALLS,BerryBlitz Chill,CrunchCraze Inc.,6,750,6,2.7,16.2,4.5
INV-17263500006,2019-01-31,4119,Peak Provisions,CEDAR FALLS,OasisGlow Refresher,BiteBlend Delights,12,750,12,2.43,29.16,9.0
INV-17263500004,2019-01-31,4119,Peak Provisions,CEDAR FALLS,CocoCrave Delight,SipSavor Co.,6,750,6,5.67,34.02,4.5
INV-17263500002,2019-01-31,4119,Peak Provisions,CEDAR FALLS,OasisGlow Refresher,MunchWave Snacks,12,750,12,2.23,26.76,9.0
INV-17263500001,2019-01-31,4119,Peak Provisions,CEDAR FALLS,FrostyMango Fusion,CraveCrafter Brands,12,750,12,2.23,26.76,9.0
INV-17263500007,2019-01-31,4119,Peak Provisions,CEDAR FALLS,ZenZen Tea Blend,SnackSphere Innovations,6,750,6,2.96,17.76,4.5
INV-17401400006,2019-02-07,4119,Peak Provisions,CEDAR FALLS,FrostyMango Fusion,CraveCrafter Brands,6,1750,6,4.05,24.3,10.5
INV-17401400001,2019-02-07,4119,Peak Provisions,CEDAR FALLS,FruitFusion Quencher,SipStory Co.,6,1750,12,5.13,61.56,21.0
INV-17401400007,2019-02-07,4119,Peak Provisions,CEDAR FALLS,HerbalHarmony Sip,FlavBlend Innovations,12,750,12,2.99,35.88,9.0
INV-17401400002,2019-02-07,4119,Peak Provisions,CEDAR FALLS,SpicedApple Hug,FlavBlend Innovations,6,1750,6,2.36,14.16,10.5
INV-17401400003,2019-02-07,4119,Peak Provisions,CEDAR FALLS,CocoCrave Delight,SipSavor Co.,12,750,12,2.84,34.08,9.0
INV-17401400004,2019-02-07,4119,Peak Provisions,CEDAR FALLS,FruitFusion Quencher,MunchWave Snacks,6,1750,6,3.98,23.88,10.5
INV-17401400005,2019-02-07,4119,Peak Provisions,CEDAR FALLS,CreamyCaramel Cloud,SnackSphere Innovations,6,750,6,4.72,28.32,4.5
INV-17559900007,2019-02-14,4755,Urban Outlet,MASON CITY,Sparkling Bliss Brew,SipSavor Co.,6,1750,6,3.92,23.52,10.5
INV-17559900001,2019-02-14,4755,Urban Outlet,MASON CITY,SummerSip Tropical,BiteBloom Foods,12,750,12,3.36,40.32,9.0
INV-17559900003,2019-02-14,4755,Urban Outlet,MASON CITY,SpicedApple Hug,FlavBlend Innovations,6,1750,6,2.36,14.16,10.5
INV-17559900002,2019-02-14,4755,Urban Outlet,MASON CITY,ChocoMint Bliss,MunchWave Snacks,12,750,12,3.51,42.12,9.0
INV-17559900006,2019-02-14,4755,Urban Outlet,MASON CITY,SootheSip Serenity,NibbleNation Group,12,1000,12,1.95,23.4,12.0
INV-17559900005,2019-02-14,4755,Urban Outlet,MASON CITY,FruitFusion Quencher,CrunchCraft Co.,6,1750,6,1.94,11.64,10.5
INV-17551000001,2019-02-14,9039,Skyline Stores,WEST DES MOINES,FruitFusion Quencher,Frescan Jaya,6,750,30,2.14,64.2,22.5
INV-17559900004,2019-02-14,4755,Urban Outlet,MASON CITY,VitaWave Splash,NibbleNook Ventures,12,750,12,2.42,29.04,9.0
INV-17696300005,2019-02-21,4119,Peak Provisions,CEDAR FALLS,OasisGlow Refresher,SnackSense Ventures,12,750,12,1.76,21.12,9.0
INV-17696300007,2019-02-21,4119,Peak Provisions,CEDAR FALLS,CaramelCrunch Craze,CraveCrafter Brands,12,750,12,2.23,26.76,9.0
INV-17696300003,2019-02-21,4119,Peak Provisions,CEDAR FALLS,CocoCrave Delight,BiteBlend Delights,6,1750,6,4.18,25.08,10.5
INV-17696300001,2019-02-21,4119,Peak Provisions,CEDAR FALLS,FruitFusion Quencher,MunchWave Snacks,12,750,12,2.23,26.76,9.0
INV-17696300002,2019-02-21,4119,Peak Provisions,CEDAR FALLS,Sparkling Bliss Brew,Crunchy Group,6,1750,6,2.82,16.92,10.5
INV-17696300006,2019-02-21,4119,Peak Provisions,CEDAR FALLS,PureElixir Zest,MunchWave Snacks,12,750,12,2.45,29.4,9.0
INV-17696300004,2019-02-21,4119,Peak Provisions,CEDAR FALLS,FruitFusion Quencher,CrunchCraft Co.,6,1750,6,1.94,11.64,10.5
INV-17696300009,2019-02-21,4119,Peak Provisions,CEDAR FALLS,PureElixir Zest,MunchWave Snacks,6,1750,6,4.86,29.16,10.5
INV-17696300008,2019-02-21,4119,Peak Provisions,CEDAR FALLS,AquaBerry Burst,TasteTwist Enterprises,6,1750,6,8.28,49.68,10.5
INV-17696300010,2019-02-21,4119,Peak Provisions,CEDAR FALLS,ChocoMint Bliss,MunchWave Snacks,12,750,12,3.51,42.12,9.0
INV-17830600001,2019-02-28,4119,Peak Provisions,CEDAR FALLS,SpicedApple Hug,FlavBlend Innovations,6,1750,6,2.98,17.88,10.5
INV-17830500002,2019-02-28,4119,Peak Provisions,CEDAR FALLS,ZenZen Tea Blend,Crunchy Group,6,1750,12,3.51,42.12,21.0
INV-17830500003,2019-02-28,4119,Peak Provisions,CEDAR FALLS,SpicedApple Hug,FlavBlend Innovations,6,1750,12,2.36,28.32,21.0
INV-17830500005,2019-02-28,4119,Peak Provisions,CEDAR FALLS,EnergizeFusion Fuel,CC Brands,6,750,6,6.14,36.84,4.5
INV-17830500001,2019-02-28,4119,Peak Provisions,CEDAR FALLS,FruitFusion Quencher,CrunchCraft Co.,6,1750,6,1.94,11.64,10.5
INV-17830500004,2019-02-28,4119,Peak Provisions,CEDAR FALLS,SpicedApple Hug,FlavBlend Innovations,6,1750,6,2.36,14.16,10.5
INV-17852000001,2019-03-01,9039,Skyline Stores,WEST DES MOINES,FruitFusion Quencher,Frescan Jaya,6,750,18,2.14,38.52,13.5
INV-17981700004,2019-03-07,4119,Peak Provisions,CEDAR FALLS,ZenZen Tea Blend,MunchWave Snacks,6,1750,6,5.94,35.64,10.5
INV-17981700002,2019-03-07,4119,Peak Provisions,CEDAR FALLS,Sparkling Bliss Brew,MunchWave Snacks,12,750,12,4.21,50.52,9.0
INV-17981700003,2019-03-07,4119,Peak Provisions,CEDAR FALLS,ChocoMint Bliss,MunchWave Snacks,12,750,12,3.51,42.12,9.0
INV-17981700001,2019-03-07,4119,Peak Provisions,CEDAR FALLS,ZenZen Tea Blend,OliverCraft Inc.,12,750,24,3.1,74.4,18.0
INV-18140000002,2019-03-14,4755,Urban Outlet,MASON CITY,ZenZen Tea Blend,Crunchy Group,6,1750,6,3.51,21.06,10.5
INV-18140000007,2019-03-14,4755,Urban Outlet,MASON CITY,Sparkling Bliss Brew,Crunchy Group,6,1750,6,2.82,16.92,10.5
INV-18134800003,2019-03-14,4119,Peak Provisions,CEDAR FALLS,PineapplePop Fizz,MunchMix Inc.,12,750,24,5.4,129.6,18.0
INV-18134800001,2019-03-14,4119,Peak Provisions,CEDAR FALLS,FruitFusion Quencher,CrunchCraft Co.,6,1750,6,1.94,11.64,10.5
INV-18134800004,2019-03-14,4119,Peak Provisions,CEDAR FALLS,PeachyKeen Revive,Crunchy Group,12,750,12,2.23,26.76,9.0
INV-18134800002,2019-03-14,4119,Peak Provisions,CEDAR FALLS,FruitFusion Quencher,SipStory Co.,6,1750,6,5.13,30.78,10.5
INV-18140000001,2019-03-14,4755,Urban Outlet,MASON CITY,CocoCrave Delight,SipSavor Co.,12,750,12,2.84,34.08,9.0
INV-18140000003,2019-03-14,4755,Urban Outlet,MASON CITY,FruitFusion Quencher,CrunchCraft Co.,6,1750,12,1.94,23.28,21.0
INV-18140000006,2019-03-14,4755,Urban Outlet,MASON CITY,Sparkling Bliss Brew,Crunchy Group,12,750,12,1.41,16.92,9.0
INV-18140000004,2019-03-14,4755,Urban Outlet,MASON CITY,VitaWave Splash,NibbleNook Ventures,12,750,12,2.42,29.04,9.0
INV-18140000005,2019-03-14,4755,Urban Outlet,MASON CITY,PureElixir Zest,MunchWave Snacks,6,1750,12,4.86,58.32,21.0
INV-18412300004,2019-03-28,4119,Peak Provisions,CEDAR FALLS,BerryBlitz Chill,CrunchCraze Inc.,6,750,6,2.7,16.2,4.5
INV-18412300006,2019-03-28,4119,Peak Provisions,CEDAR FALLS,Sparkling Bliss Brew,Crunchy Group,6,1750,6,2.82,16.92,10.5
INV-18412300003,2019-03-28,4119,Peak Provisions,CEDAR FALLS,ZenZen Tea Blend,SipSavor Co.,6,750,6,3.38,20.28,4.5
INV-18412300002,2019-03-28,4119,Peak Provisions,CEDAR FALLS,VitaWave Splash,NibbleNook Ventures,12,750,12,2.42,29.04,9.0
INV-18412300007,2019-03-28,4119,Peak Provisions,CEDAR FALLS,ChocoMint Bliss,MunchWave Snacks,12,750,12,3.51,42.12,9.0
