province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
,Malaysia,2020-03-08,2.5,112.5,POINT(112.5 2.5),99,0,24,,,,
,Malaysia,2020-03-10,2.5,112.5,POINT(112.5 2.5),129,0,24,,,,
,Singapore,2020-03-13,1.3521,103.8198,POINT(103.8198 1.3521),200,0,97,,,,
,Malaysia,2020-03-13,4.2105,101.9758,POINT(101.9758 4.2105),197,0,26,,,,
,Malaysia,2020-03-15,4.2105,101.9758,POINT(101.9758 4.2105),428,0,42,,,,
,Singapore,2020-03-15,1.3521,103.8198,POINT(103.8198 1.3521),226,0,105,,,,
,Malaysia,2020-03-02,2.5,112.5,POINT(112.5 2.5),29,0,18,,,,
,Malaysia,2020-03-11,2.5,112.5,POINT(112.5 2.5),149,0,26,,,,
,Malaysia,2020-03-14,4.2105,101.9758,POINT(101.9758 4.2105),238,0,35,,,,
,Singapore,2020-03-14,1.3521,103.8198,POINT(103.8198 1.3521),212,0,105,,,,
,Malaysia,2020-03-19,4.2105,101.9758,POINT(101.9758 4.2105),900,2,75,,,,
,Singapore,2020-03-19,1.3521,103.8198,POINT(103.8198 1.3521),345,0,114,,,,
,Malaysia,2020-03-03,2.5,112.5,POINT(112.5 2.5),36,0,22,,,,
,Malaysia,2020-03-04,2.5,112.5,POINT(112.5 2.5),50,0,22,,,,
,Malaysia,2020-03-09,2.5,112.5,POINT(112.5 2.5),117,0,24,,,,
,Malaysia,2020-03-20,4.2105,101.9758,POINT(101.9758 4.2105),1030,3,87,,,,
,Singapore,2020-03-20,1.3521,103.8198,POINT(103.8198 1.3521),385,0,124,,,,
,Malaysia,2020-03-12,2.5,112.5,POINT(112.5 2.5),149,0,26,,,,
,Malaysia,2020-03-06,2.5,112.5,POINT(112.5 2.5),83,0,22,,,,
,Malaysia,2020-03-16,4.2105,101.9758,POINT(101.9758 4.2105),566,0,42,,,,
,Singapore,2020-03-16,1.3521,103.8198,POINT(103.8198 1.3521),243,0,109,,,,
,Malaysia,2020-03-07,2.5,112.5,POINT(112.5 2.5),93,0,23,,,,
,Malaysia,2020-03-17,4.2105,101.9758,POINT(101.9758 4.2105),673,2,49,,,,
,Singapore,2020-03-17,1.3521,103.8198,POINT(103.8198 1.3521),266,0,114,,,,
,Malaysia,2020-03-18,4.2105,101.9758,POINT(101.9758 4.2105),790,2,60,,,,
,Singapore,2020-03-18,1.3521,103.8198,POINT(103.8198 1.3521),313,0,114,,,,
,Malaysia,2020-03-21,4.2105,101.9758,POINT(101.9758 4.2105),1183,4,114,,,,
,Singapore,2020-03-21,1.3521,103.8198,POINT(103.8198 1.3521),432,2,140,,,,
,Malaysia,2020-03-05,2.5,112.5,POINT(112.5 2.5),50,0,22,,,,
,Malaysia,2020-03-01,2.5,112.5,POINT(112.5 2.5),29,0,18,,,,
Unknown,Malaysia,2022-05-26,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2023-02-13,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-02-16,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2021-10-06,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-07-14,,,,0,0,,,,,"Unknown, Malaysia"
Unknown,Malaysia,2022-10-03,,,,0,0,,,,,"Unknown, Malaysia"
