unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_km,fare,tips,payment_type,company,pickup_location,dropoff_location
RA-3083,RA-237,2021-01-02 11:00:00+00:00,2021-01-02 11:30:00+00:00,23.496364,36.5,8.4,Credit Card,Rocket Cab Auto,POINT (-87.913624596 41.9802643146),POINT (-87.6494887289 41.9226862843)
RA-3084,RA-341,2021-01-02 14:00:00+00:00,2021-01-02 14:15:00+00:00,22.047958,35.25,9.9,Credit Card,Rocket Cab Auto,POINT (-87.913624596 41.9802643146),POINT (-87.6559981815 41.9442266014)
RA-3085,RA-246,2021-01-02 15:15:00+00:00,2021-01-02 15:30:00+00:00,26.071308,41.0,0.0,Cash,Rocket Cab Auto,POINT (-87.9030396611 41.9790708201),POINT (-87.6188683546 41.8909220259)
FI-1676,I-536,2021-01-02 16:45:00+00:00,2021-01-02 17:00:00+00:00,1.2874720000000002,6.25,0.0,Cash,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6333080367 41.899602111)
FI-1677,I-433,2021-01-02 17:00:00+00:00,2021-01-02 17:15:00+00:00,4.9889540000000006,12.25,3.0,Credit Card,Federway Int.,POINT (-87.6262105324 41.8991556134),POINT (-87.6173580061 41.859349715)
FI-1678,I-527,2021-01-02 18:00:00+00:00,2021-01-02 18:00:00+00:00,1.1265379999999998,5.5,3.0,Credit Card,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6333080367 41.899602111)
RA-3086,RA-187,2021-01-02 18:15:00+00:00,2021-01-02 18:45:00+00:00,24.301034,38.0,8.7,Credit Card,Rocket Cab Auto,POINT (-87.913624596 41.9802643146),POINT (-87.6763559892 41.9012069941)
FI-1679,I-536,2021-01-02 18:45:00+00:00,2021-01-02 18:45:00+00:00,1.2874720000000002,6.25,0.0,Cash,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6333080367 41.899602111)
DP-80,S-63,2021-01-02 19:00:00+00:00,2021-01-02 19:30:00+00:00,28.646252,44.75,10.0,Credit Card,Deluc Porter,POINT (-87.913624596 41.9802643146),POINT (-87.6333080367 41.899602111)
DP-81,P-22,2021-01-02 19:30:00+00:00,2021-01-02 19:45:00+00:00,5.793624,12.25,2.0,Credit Card,Deluc Porter,POINT (-87.6333080367 41.899602111),POINT (-87.6559981815 41.9442266014)
AI-10123,A-884,2021-01-02 19:30:00+00:00,2021-01-02 19:45:00+00:00,3.862416,9.25,0.0,Cash,Atomic Inc.,POINT (-87.6233665115 41.7065878819),POINT (-87.6488950721 41.7174930361)
FI-1680,I-527,2021-01-02 19:30:00+00:00,2021-01-02 19:45:00+00:00,8.368568,16.25,0.0,Cash,Federway Int.,POINT (-87.6251921424 41.8788655841),POINT (-87.6487879519 41.8361501547)
RA-3087,RA-146,2021-01-03 07:15:00+00:00,2021-01-03 07:45:00+00:00,19.794882,32.0,7.3,Credit Card,Rocket Cab Auto,POINT (-87.913624596 41.9802643146),POINT (-87.6558787862 41.96581197)
